Junction,time_obj,Vehicles,Rain,Temp Max,Temp Min,Event Name,TimeStamp,hour,day_of_week,month,is_weekend,is_special_event,vehicles_lag_1,vehicles_lag_2,vehicles_lag_3,Vehicles_scaled,Rain_scaled,Temp Max_scaled,Temp Min_scaled
1,2015-11-01 12:00:00,16,0.0,28.60291672,20.63870049,No Event,12:00:00,12,6,11,1,0,17.0,15.0,12.0,-0.3280582899845075,-0.32127829975269956,-0.8768076621761433,0.28848355617564836
1,2015-11-01 13:00:00,15,0.0,28.60291672,20.63870049,No Event,13:00:00,13,6,11,1,0,16.0,17.0,15.0,-0.37624416617158485,-0.32127829975269956,-0.8768076621761433,0.28848355617564836
1,2015-11-01 14:00:00,16,0.0,28.60291672,20.63870049,No Event,14:00:00,14,6,11,1,0,15.0,16.0,17.0,-0.3280582899845075,-0.32127829975269956,-0.8768076621761433,0.28848355617564836
1,2015-11-01 15:00:00,12,0.0,28.60291672,20.63870049,No Event,15:00:00,15,6,11,1,0,16.0,15.0,16.0,-0.520801794732817,-0.32127829975269956,-0.8768076621761433,0.28848355617564836
1,2015-11-01 16:00:00,12,0.0,28.60291672,20.63870049,No Event,16:00:00,16,6,11,1,0,12.0,16.0,15.0,-0.520801794732817,-0.32127829975269956,-0.8768076621761433,0.28848355617564836
1,2015-11-01 17:00:00,16,0.0,28.60291672,20.63870049,No Event,17:00:00,17,6,11,1,0,12.0,12.0,16.0,-0.3280582899845075,-0.32127829975269956,-0.8768076621761433,0.28848355617564836
1,2015-11-01 18:00:00,17,0.0,28.60291672,20.63870049,No Event,18:00:00,18,6,11,1,0,16.0,12.0,12.0,-0.2798724137974301,-0.32127829975269956,-0.8768076621761433,0.28848355617564836
1,2015-11-01 19:00:00,20,0.0,28.60291672,20.63870049,No Event,19:00:00,19,6,11,1,0,17.0,16.0,12.0,-0.13531478523619803,-0.32127829975269956,-0.8768076621761433,0.28848355617564836
1,2015-11-01 20:00:00,17,0.0,28.60291672,20.63870049,No Event,20:00:00,20,6,11,1,0,20.0,17.0,16.0,-0.2798724137974301,-0.32127829975269956,-0.8768076621761433,0.28848355617564836
1,2015-11-01 21:00:00,19,0.0,28.60291672,20.63870049,No Event,21:00:00,21,6,11,1,0,17.0,20.0,17.0,-0.1835006614232754,-0.32127829975269956,-0.8768076621761433,0.28848355617564836
1,2015-11-01 22:00:00,20,0.0,28.60291672,20.63870049,No Event,22:00:00,22,6,11,1,0,19.0,17.0,20.0,-0.13531478523619803,-0.32127829975269956,-0.8768076621761433,0.28848355617564836
1,2015-11-01 23:00:00,15,0.0,28.60291672,20.63870049,No Event,23:00:00,23,6,11,1,0,20.0,19.0,17.0,-0.37624416617158485,-0.32127829975269956,-0.8768076621761433,0.28848355617564836
1,2015-11-02 00:00:00,14,42.67019653,28.60640144,20.24723053,No Event,00:00:00,0,0,11,0,0,15.0,20.0,19.0,-0.4244300423586622,6.085732814775406,-0.875748740477827,0.1426635491735233
1,2015-11-02 01:00:00,12,42.67019653,28.60640144,20.24723053,No Event,01:00:00,1,0,11,0,0,14.0,15.0,20.0,-0.520801794732817,6.085732814775406,-0.875748740477827,0.1426635491735233
1,2015-11-02 02:00:00,14,42.67019653,28.60640144,20.24723053,No Event,02:00:00,2,0,11,0,0,12.0,14.0,15.0,-0.4244300423586622,6.085732814775406,-0.875748740477827,0.1426635491735233
1,2015-11-02 03:00:00,12,42.67019653,28.60640144,20.24723053,No Event,03:00:00,3,0,11,0,0,14.0,12.0,14.0,-0.520801794732817,6.085732814775406,-0.875748740477827,0.1426635491735233
1,2015-11-02 04:00:00,12,42.67019653,28.60640144,20.24723053,No Event,04:00:00,4,0,11,0,0,12.0,14.0,12.0,-0.520801794732817,6.085732814775406,-0.875748740477827,0.1426635491735233
1,2015-11-02 05:00:00,11,42.67019653,28.60640144,20.24723053,No Event,05:00:00,5,0,11,0,0,12.0,12.0,14.0,-0.5689876709198943,6.085732814775406,-0.875748740477827,0.1426635491735233
1,2015-11-02 06:00:00,13,42.67019653,28.60640144,20.24723053,No Event,06:00:00,6,0,11,0,0,11.0,12.0,12.0,-0.4726159185457396,6.085732814775406,-0.875748740477827,0.1426635491735233
1,2015-11-02 07:00:00,14,42.67019653,28.60640144,20.24723053,No Event,07:00:00,7,0,11,0,0,13.0,11.0,12.0,-0.4244300423586622,6.085732814775406,-0.875748740477827,0.1426635491735233
1,2015-11-02 08:00:00,12,42.67019653,28.60640144,20.24723053,No Event,08:00:00,8,0,11,0,0,14.0,13.0,11.0,-0.520801794732817,6.085732814775406,-0.875748740477827,0.1426635491735233
1,2015-11-02 09:00:00,22,42.67019653,28.60640144,20.24723053,No Event,09:00:00,9,0,11,0,0,12.0,14.0,13.0,-0.038943032862043314,6.085732814775406,-0.875748740477827,0.1426635491735233
1,2015-11-02 10:00:00,32,42.67019653,28.60640144,20.24723053,No Event,10:00:00,10,0,11,0,0,22.0,12.0,14.0,0.4429157290087303,6.085732814775406,-0.875748740477827,0.1426635491735233
1,2015-11-02 11:00:00,31,42.67019653,28.60640144,20.24723053,No Event,11:00:00,11,0,11,0,0,32.0,22.0,12.0,0.39472985282165296,6.085732814775406,-0.875748740477827,0.1426635491735233
1,2015-11-02 12:00:00,35,42.67019653,28.60640144,20.24723053,No Event,12:00:00,12,0,11,0,0,31.0,32.0,22.0,0.5874733575699623,6.085732814775406,-0.875748740477827,0.1426635491735233
